City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,st. john's,47.5649,-52.7093,55.78,90,100,11.5,CA,2023-08-09 23:44:06
69,aasiaat,68.7098,-52.8699,38.64,86,14,9.4,GL,2023-08-09 23:45:45
70,xiaoweizhai,26.1903,107.5125,74.79,94,43,1.1,CN,2023-08-09 23:45:46
71,vila velha,-20.3297,-40.2925,73.35,88,75,6.91,BR,2023-08-09 23:45:46
72,ushuaia,-54.8,-68.3,46.06,61,75,5.75,AR,2023-08-09 23:41:19
73,college,64.8569,-147.8028,75.58,70,75,9.22,US,2023-08-09 23:45:46
74,tokar,18.4254,37.729,94.05,35,17,6.64,SD,2023-08-09 23:45:47
75,port isabel,26.0734,-97.2086,95.04,67,0,24.16,US,2023-08-09 23:45:48
76,colonia,50.9333,6.95,59.86,82,0,1.14,DE,2023-08-09 23:45:48
77,puerto ayora,-0.7393,-90.3518,76.55,91,97,5.99,EC,2023-08-09 23:45:48
78,bredasdorp,-34.5322,20.0403,50.47,93,1,3.36,ZA,2023-08-09 23:45:49
79,sinabang,2.4803,96.3801,77.18,88,100,4.45,ID,2023-08-09 23:45:49
80,beyneu,45.3167,55.2,82.33,27,7,7.29,KZ,2023-08-09 23:45:49
81,kruisfontein,-34.0033,24.7314,53.89,91,0,5.66,ZA,2023-08-09 23:45:50
82,lompoc,34.6391,-120.4579,84.78,75,75,9.22,US,2023-08-09 23:45:50
83,avarua,-21.2078,-159.775,75.25,73,100,17.27,CK,2023-08-09 23:45:50
84,albany,42.6001,-73.9662,75.16,67,29,6.11,US,2023-08-09 23:45:18
85,ribeira grande,38.5167,-28.7,71.78,91,99,1.99,PT,2023-08-09 23:45:51
86,puerto san jose,13.9256,-90.8244,85.35,73,60,4.56,GT,2023-08-09 23:45:51
87,wailua homesteads,22.0669,-159.378,90.03,73,40,19.57,US,2023-08-09 23:45:51
88,port augusta,-32.5,137.7667,56.08,63,1,7.81,AU,2023-08-09 23:45:52
89,neon karlovasion,37.7903,26.7044,76.91,80,0,13.58,GR,2023-08-09 23:45:52
90,newman,37.3138,-121.0208,95.23,12,0,13.11,US,2023-08-09 23:45:52
91,tiksi,71.6872,128.8694,67.93,41,35,7.54,RU,2023-08-09 23:45:52
92,hawaiian paradise park,19.5933,-154.9731,81.91,75,75,5.75,US,2023-08-09 23:45:53
93,lijiang,26.8688,100.2207,61.48,95,89,1.12,CN,2023-08-09 23:45:53
94,afaahiti,-17.75,-149.2833,80.47,73,98,14.0,PF,2023-08-09 23:45:53
95,mejit,10.2753,170.8646,82.27,70,91,10.67,MH,2023-08-09 23:45:53
96,sao joao da barra,-21.6403,-41.0511,71.69,85,65,10.74,BR,2023-08-09 23:45:54
97,hermanus,-34.4187,19.2345,56.8,79,0,9.64,ZA,2023-08-09 23:45:54
98,los osos,35.3111,-120.8324,84.88,77,0,8.99,US,2023-08-09 23:45:55
99,malpica,43.3228,-8.8105,69.96,73,28,9.31,ES,2023-08-09 23:45:55
100,ceerigaabo,10.6162,47.368,62.37,66,91,16.35,SO,2023-08-09 23:45:55
101,kapa'a,22.0752,-159.319,91.38,73,40,19.57,US,2023-08-09 23:45:55
102,lockwood,45.8191,-108.4149,89.49,28,40,9.22,US,2023-08-09 23:45:56
103,anadyr,64.75,177.4833,54.1,71,75,13.42,RU,2023-08-09 23:45:56
104,robbah,33.2797,6.9098,92.84,33,0,11.36,DZ,2023-08-09 23:45:56
105,stanley,54.868,-1.6985,62.28,88,75,10.36,GB,2023-08-09 23:45:56
106,bermejo,-32.8833,-68.8,57.11,33,0,3.44,AR,2023-08-09 23:45:57
107,hilo,19.7297,-155.09,82.94,76,75,5.75,US,2023-08-09 23:44:04
108,changyon,38.2508,125.0961,77.07,80,100,6.76,KP,2023-08-09 23:45:57
109,arraial do cabo,-22.9661,-42.0278,69.71,83,70,18.57,BR,2023-08-09 23:45:57
110,bardai,11.65,7.2333,70.48,93,91,8.03,NG,2023-08-09 23:45:58
111,alice springs,-23.7,133.8833,62.15,39,1,0.0,AU,2023-08-09 23:45:58
112,west island,-12.1568,96.8225,76.98,83,75,12.66,CC,2023-08-09 23:45:58
113,vilyuysk,63.7553,121.6247,67.6,45,2,10.02,RU,2023-08-09 23:45:59
114,bubaque,11.2833,-15.8333,80.6,84,99,9.04,GW,2023-08-09 23:45:59
115,santa helena de goias,-17.8136,-50.5969,78.03,25,2,2.35,BR,2023-08-09 23:45:59
116,bilibino,68.0546,166.4372,60.03,37,99,5.14,RU,2023-08-09 23:45:59
117,taltal,-25.4,-70.4833,58.93,88,77,4.29,CL,2023-08-09 23:46:00
118,gadzhiyevo,69.2551,33.3362,63.61,77,2,6.06,RU,2023-08-09 23:46:00
119,the pas,53.8251,-101.2541,66.22,42,0,6.91,CA,2023-08-09 23:46:00
